Me,Address,Count,Continent,sov_a3,Country,Mcount,Description,FeatureCount,Fee,longtitude,latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo,MuseumLoctation,MuseumTopic,Color,,,,,ColorCode
,"Yarm Road, Eaglescliffe TS18 3RH, England",397,Europe,GBR,England,79,"Welcome to Preston Park Museum & Grounds! Nestled alongside the River Tees, Preston Park Museum, a former Georgian gentleman's residence, houses a vast collection of artefacts which tell the story of Stockton-On-Tees. Experience what life was like in 1895 as you take a stroll down our replica Victorian Street. Whether you'd like a stroll in the Quarry Wood nature reserve, fancy a wander around the Victorian Walled Kitchen Garden, or feel like letting off steam at our Adventure Play Area - there's something for everyone! Admission: Family ticket (2 adults + 4 concessions) 5, Adults 2.50, Concession/Child 1.50. All tickets are valid for one year from date of issue. Last admission is 3.30pm.",0,NA,-1.3435053,54.5340103,NA,Preston Park Museum & Grounds,+44 1642 527375,1,4.5,579,4,Museums,Art,Orange,,,,,
,"Milton Keynes Museum McConnell Drive, Wolverton, Milton Keynes MK12 5EL, England",397,Europe,GBR,England,79,,0,NA,-0.8047208,52.0604516,NA,Milton Keynes Museum,01908-31-62-22,1,4.5,451,3,Museums,History,Black,,,,,
,"Albert Road South | (Near Ocean Village), Southampton SO14 3FR, England",397,Europe,GBR,England,79,"Solent Sky Museum showcases the history of aviation in Southampton - Spitfire City - and the surrounding Solent area.Geographically this was the most important area in the country, perhaps the world, for aircraft experimental and development work between 1908 and the late 1960s. 26 aircraft companies set up shop in the area, and many of the worlds greatest aircraft, including the legendary Spitfire, first took to the air in the skies over Southampton.We have 18 complete airframes, including a Supermarine Spitfire and Supermarine S6a (N248), and also 4 cockpit sections. We also have a comprehensive collection of aero-engines.Our mighty Sandringham Flying Boat was originally built as a Short Sunderland in 1943, and converted to a passenger aircraft after the war. Visitors are welcome to board the aircraft to sample the luxury of air travel in the romantic era of the great flying boats, and guided tours of the flight deck are also available.Kids (and big kids) can also imagine what it would be like to fly a jet fighter while sat in the cockpits of our Supermarine Swift and Harrier Jump Jet. Our new Schneider Trophy Exhibition is now open, with its record-breaking centrepiece the S6a. Video stock footage of these legendary races and artefacts from the time illustrate the drama and romance of the fastest race in history.",0,NA,-1.3924072,50.8979402,NA,Solent Sky Museum,+44 23 8063 5830,1,4.5,419,120,Military Museums,Military,Blue,,,,,
,"St Luke's | Viewfield Road, Aberdeen AB15 7XH, Scotland",397,Europe,GBR,England,79,"""The Finest Regiment in the World"" was how Sir Winston Churchill described The Gordon Highlanders in 1900.",1,NA,-2.146994,57.1361266,NA,The Gordon Highlanders Museum,+44 1224 311200,1,4.5,403,145,Museums,History,Black,,,,,
,"399 High Street, Brentford TW8 0DU, England",397,Europe,GBR,England,79,"The Musical Museum contains one of the world's foremost collections of self-playing musical instruments. From the tiniest of clockwork music boxes to the Mighty Wurlitzer the collection embraces an impressive and comprehensive array of reproducing pianos, orchestrions, orchestrelles, residence organs and violin players. The Museum is open on Tuesday, Friday, Saturday, Sunday & Bank Holiday Mondays from 11AM to 5PM, last entry is at 4PM. Tours with live demonstrations of self playing instruments and the Mighty Wurlitzer take place at 11.30AM, 1.30PM & 3.30PM. Concession discounts and reduced prices for children and families are available. The Museum is open on any day for groups consisting of 20 people or more. Please contact the museum for further details.",0,NA,-0.2931374,51.487832,1-2 hours ,Musical Museum,4.42E+11,1,5,281,16,Museums,Music,Purple,,,,,
,"Clover Farm Main Road | Langrick, Boston PE22 7AW, England",397,Europe,GBR,England,79,"A collection of over 50 1950/60s microcars and scooters, archive material Plus loads of memorabilia that take you down memory lane. We also have a tearooms with homemade goodies, a gift shop with lots of toys you thought you had forgotten and a campsite. Whats not to like ?",0,NA,-1.1743197,52.3555177,NA,The Bubblecar Museum,01205 280037,1,4.5,227,21,Museums,Transportation,#bf7000,,,,,
,"Blandford Camp, Blandford Forum DT11 8RH, England",397,Europe,GBR,England,79,"Nestled in beautiful countryside, this modern museum traces the history of the British Armys Royal Corps of Signals and the story of battlefield communications from the telegraph to cyber warfare and satellites! Learn about this fascinating subject through excellent interactive displays: guide a laser beam, ""direction find"" the enemy, set up satellite networks, learn about encryption, practice Morse code and more! Adults must bring photo ID as we are located in a military camp.",0,NA,-2.125101,50.8682949,NA,Royal Signals Museum,(+44) 01258 482248,1,4.5,88,18,Museums,History,Black,,,,,
1,"1, Rue de la Legion d'Honneur, 75007 Paris, France",397,Europe,FRA,France,38,"This beautiful museum, once a railroad station, now houses a staggering collection of Impressionist art, as well as other items created between 1848 and 1914. In 2011, the museum is running a renovation of the top floor (impressionist gallery). Only ground and medium floor are accessible. The top floor will re-open on the 20th of October. Meanwhile, some impressionist masterpieces are not visible.",11,Yes ,2.3259283,48.8601978,More than 3 hours ,Musee d'Orsay,+33 1 40 49 48 14,1,4.5,"43,037","1,004",Museums,Art,Orange,,,,,
,"Esplanade General Eisenhower | CS 55026, 14050 Caen, France",397,Europe,FRA,France,38,"From the origins of the Second World War to the fall of the Berlin Wall, the Mmorial de Caen tells you the story of the XXth century.",0,NA,-0.370679,49.182863,NA,Memorial of Caen,332 31 06 06 45,1,4.5,"2,282",45,Museums,Military,Blue,,,,,
,"15 rue de l Epee, 68100 Mulhouse, France",397,Europe,FRA,France,38,"With 400 vehicles on show, the Schlumpf Collection is certainly the most prestigious collection in the world. This is demonstrated by the two Bugatti Royales, including the famous Coup Napolon, the 150 Bugatti, Hispano-Suiza, Ferrari, Rolls-Royce, Maserati, Maybach, Mercedes models, etc. From the first car, a Panhard-Levassor from 1894, to the present day, the Cit de l'Automobile brings the saga of the automobile to life. A living history as visitors can start a vintage car with a crank.",0,NA,7.3308308,47.7594598,NA,Cite de l'Automobile - Collection Schlumpf,389332323,1,4.5,"1,493",33,Museums,Transportation,#bf7000,,,,,
,"| Utah Beach, 50480 Sainte-Marie-du-Mont, France",397,Europe,FRA,France,38,"Located in the Parc Naturel Rgional des Marais du Cotentin et du Bessin, the ""Madeleine"" beach went into history a Tuesday of June 1944.67 years after, the Utah Beach Landing Museum invites you to walk along paths of our liberators.",0,NA,-1.1737265,49.4133893,NA,Utah Beach D-Day Museum,+33 2 33 71 53 35,1,4.5,773,9,Battlefields,History,Black,,,,,
,"Voie des Francais Libres, 14470 Courseulles-sur-Mer, France",397,Europe,FRA,France,38,"Canadian World War II memorial museum features interactive animations and a dramatic eight-foot bronze sculpture entitled ""Remembrance and Renewal.""",0,NA,-0.464821,49.336886,NA,Juno Beach Centre,(00.33) (0)2.31.37.32.17,1,4.5,675,13,Monuments & Statues,History,Black,,,,,
,"1043 route de Fontevraud, 49400, Saumur, France",397,Europe,FRA,France,38,,0,NA,-0.0712258,47.2430865,NA,Musee des Blindes,02 41 83 69 99,1,4.5,583,30,Museums,History,Black,,,,,
,"rue Lazare Ponticelli, 77100 Meaux, France",397,Europe,FRA,France,38,,0,NA,2.9042808,48.9704319,NA,Musee de la Grande Guerre,+33 1 60 32 14 18,1,4.5,374,13,Museums,History,Black,,,,,
,"Avenue du Cotentin | PA La Fourchette, 50500 Catz, France",397,Europe,FRA,France,38,,0,NA,-1.1958374,49.3052366,NA,Normandy Tank Museum,+33 (0)2 33 44 39 45,1,4.5,189,1,Museums,Military,Blue,,,,,
,"Via Accademia delle Scienze, 6 | Aperto Anche il Lunedi Mattina, 10123 Turin, Italy",397,Europe,ITA,Italy,37,"The Museo delle Antichit Egizie is the only museum other than the Cairo Museum that is dedicated solely to Egyptian art and culture. Many international scholars, since the decipherer of Egyptian hieroglyphs Jean-Franois Champollion, who came to Turin in 1824, spend much time pouring over the collections. It was Champollion who famously wrote, The road to Memphis and Thebes passes through Turin.The collections that make up todays Museum, were enlarged by the excavations conducted in Egypt by the Museums archaeological mission between 1900 and 1935 (a period when finds were divided between the excavators and Egypt).The Egyptian Museum in Turin has begun 2009 an important project which wants to widen spaces in order to enhance the collections through modern museographical and museological criteria. The Museum will be open all over the period of restoration and the New Egyptian Museum inauguration is scheduled for the year 2015.",1,NA,7.6894974,45.0629159,NA,Egyptian Museum of Turin,39 11 561 7776,1,4.5,"11,412",276,Museums,History,Black,,,,,
,"Via F. De Sanctis 19 / 21, 80134, Naples, Italy",397,Europe,ITA,Italy,37,"Built in the late 1500s, this gem of Italian artistic heritage was greatly influenced by the famous Raimondo de Sangro VII, Prince of Sansevero, a genius of science and invention.",1,NA,14.25487,40.84921,NA,Museo Cappella Sansevero,+ 39 0815518470,1,4.5,"9,276",369,Sacred & Religious Sites,History,Black,,,,,
,"Bard, Italy",397,Europe,ITA,Italy,37,"Fortress of Bard complex is the protagonist of a wide project aimed at the creation of a cultural pole in the Western Alps of Italy. From impregnable defence for the valley the Fortress has been transformed into a gateway to the Alps culture and traditions, with a museum centre in the forefront of the international scenery dedicated to the mountain. Nowadays the Fortress offers only a part of the several activities planned by the project, whose purpose is to bring together innovative cultural spaces, services and accommodation in one single structure. To complete the project, in addition to the Museum of the Alps, The Childrens Alps, and the space for temporary exhibitions, Fortress of Bard will host two other museums (Frontiers Museum; Fortress Museum), an info-point to promote the cultural artistic heritage of Valle dAosta Region (already working); a school area provided with a lecture room for lessons, meetings and film projections; two conference rooms; a media centre; historical and thematic paths; a small refined hotel, a restaurant and a caf (already working).",0,NA,7.7455303,45.6090947,NA,Forte di Bard,39 0125 833811,1,4.5,"1,527",5,Museums,History,Black,,,,,
,"Largo Fratelli Spacca 2, 60044, Fabriano, Italy",397,Europe,ITA,Italy,37,"The visit to the Paper & Watermark Museum, duration of about 1 hour and 15 minutes, consists of a guided tour by guides that speak Italian, English, French, Spanish and German. The program includes a live demonstration of hand-made paper, performed by the Museum's Master paper makers, viewing the antique watermarks from the 13th Century to modern day, and a film on the history of paper in Fabriano.The Museum also provides a furnished bookshop where it is possible to purchase paper products, produced in the Museum's mediaeval paper mill, artistic watermarks (white-shaded), albums, diaries, publications and much more.  It is also possible to make reservations for guided tours of the city that gave birth to Gentile da Fabriano, Palazzo del Podest, Teatro Gentile, Portico dei Vasari, Oratorio della Carit, etc., and the 'Pinacoteca Molajoli' to the suburbs and various sites of tourist interest (abbeys, museums, archaeological excavations, Frasassi Caves, natural parks, etc.).",0,NA,12.902679,43.33312,1-2 hours ,Paper and Watermark Museum,3.91E+10,1,4.5,695,30,Museums,History,Black,,,,,
,"Viale Rinaldo Piaggio 7, 56025, Pontedera, Italy",397,Europe,ITA,Italy,37,The Piaggio Museum is open also the second and the fourth sunday of the month from 10:00 to 18:00.,0,NA,10.6325753,43.6606222,1-2 hours ,Piaggio Museum (Museo Piaggio),+39 0587 27171,1,4.5,422,15,Museums,Transportation,#bf7000,,,,,
,"Via Modena 12, 40019 Sant'Agata Bolognese, Italy",397,Europe,ITA,Italy,37,"The Lamborghini Museum is located in SantAgata Bolognese, in that tiny triangle between Bologna and Modena, fittingly defined as Terra dei Motori (Motor Valley). The Museum opened in 2001 as a sign of Automobili Lamborghinis commitment to celebrate, with the new millennium, a new breed of dream cars. The Lamborghini Murcilago was shown at the Museum first, against a backdrop of other precious Lamborghini treasures from the past, a collection which is nowadays admired by enthusiasts coming from all over the world. The Museum also marks Lamborghinis recognition for the support from devoted and passionate Lamborghini fans, who contribute every day to keep its legend alive.",0,NA,11.126928,44.659336,1-2 hours ,Lamborghini Museum,3.91E+11,1,4,410,4,Museums,Transportation,#bf7000,,,,,
,"Via Costabella 9, 37011, Bardolino, Italy",397,Europe,ITA,Italy,37,"We will guide you along a fascinating path among tradition and modern age. In the Wine Museums halls you can try the fragrance of our viticultural history, while in the technical area we will show you the evolution of the production process. You will visit then the adjacent vineyard, the heart piece of the classic zone of Bardolino production.",0,NA,10.7344969,45.5390167,2-3 hours ,Zeni Winery and Wine Museum,+39 045 622 8331,1,4.5,383,25,Museums,History,Black,,,,,
,"Via Niccolo' Aggiunti 75 | Palazzo Bourbon del Monte, 52037, Sansepolcro, Italy",397,Europe,ITA,Italy,37,"Aboca Museum, the original and the only Herb Museum, has rediscovered the history of the millenary relationship between Man and Herbs and is passing it down to future generations. The museum explores the ancient tradition of Medicinal Herbs through historic sources such as herbariums, pharmaceutical botanical books, ancient mortars, ceramics and glassware.Tickets and opening timesTicket pricesFull: 8 Groups (minimum 5 persons): 6 Reduced (10-14 years, over 65s, students): 4 Free of charge: children under 10 years of age accompanied by parents or a guide Summer opening hours: 1 April - 30 September (every day) Morning: 10.00-13.00 / Afternoon: 15.00-19.00 Winter opening hours: 1 October - 31 March (closed Monday, 25-26 December and 1 January) Morning: 10.00-13.00 / Afternoon: 14.30-18.00",0,NA,12.1382607,43.5726206,<1 hour ,Aboca Museum,+39 0575 733589,1,4.5,252,15,Museums,History,Black,,,,,
,"Via Peschiera 54, 37011 Cisano, Bardolino, Italy",397,Europe,ITA,Italy,37,,0,NA,10.7291852,45.5238589,NA,Museo dell'Olio d'Oliva,+39 045 6229047,1,4.5,218,3,Museums,Food,Brown,,,,,
,"1-2 Nakajimacho, Naka-ku, Hiroshima 730-0811, Hiroshima Prefecture",122,Asia,JPN,Japan,31,"This park commemorates the explosion of the first atomic bomb, and houses the Peace Memorial Museum and monuments related to the horrific event.",0,NA,132.45307,34.3914913,NA,Hiroshima Peace Memorial Museum,+81 82-241-4004,1,4.5,"3,943",164,Museums,History,Black,,,,,
,"7-8 Hirano-machi, Nagasaki, Nagasaki Prefecture",122,Asia,JPN,Japan,31,"Jarring, horrific reminders of the devastation caused by the August 9, 1945 bombing of Nagasaki fill this historic and educational museum, which traces events preceding the bombing, the resulting destruction and the citys restoration.",0,NA,129.877667,32.7502856,NA,Nagasaki Atomic Bomb Museum,+81 95-844-1231,1,4.5,"1,103",235,Museums,History,Black,,,,,
,"320 Furukawa-cho, Yasugi 692-0064, Shimane Prefecture",122,Asia,JPN,Japan,31,,0,NA,133.194577,35.3806875,NA,Adachi Museum of Art,+81 854-28-7111,1,4.5,536,19,Gardens,Art,Orange,,,,,
,"3-47 Onari-cho, Omiya-ku, Saitama 330-0852, Saitama Prefecture",122,Asia,JPN,Japan,31,,0,NA,139.618149,35.9209319,NA,The Railway Museum,+81 48-651-0088,1,4.5,428,80,Museums,Transportation,#bf7000,,,,,
,"Naruto-cho, Naruto 772-0053, Tokushima Prefecture",122,Asia,JPN,Japan,31,,0,NA,134.627814,34.2173121,NA,Otsuka Museum of Art,+81 88-687-3737,1,4.5,427,37,Museums,Art,Orange,,,,,
,"1-1, Yobito, Abashiri 099-2421, Hokkaido",122,Asia,JPN,Japan,31,"Abashiri prison museum is a open air museum .We had linked with Abashiri city since Meiji period.This is located in nearthe mount Tento, and has three and a half tiwes bigger site than Tokyo Dome.",0,NA,144.22933,43.9956975,1-2 hours ,Abashiri Prison Museum,+81 152-45-2411,1,4.5,405,31,Points of Interest & Landmarks,History,Black,,,,,
,"51-11 Murokocho Terao, Katsuyama 911-8601, Fukui Prefecture",122,Asia,JPN,Japan,31,,0,NA,136.50647,36.0825566,NA,Fukui Dinosaur Museum,+81 779-88-8700,1,4.5,391,11,Museums,Natural History,Green,,,,,
,"2-8-1, Nagao, Tama-ku, Kawasaki 214-0023, Kanagawa Prefecture",122,Asia,JPN,Japan,31,,0,NA,139.573235,35.6099743,NA,Fujiko F Fujio Museum,+81 570-055-245,1,4.5,386,108,Museums,Art,Orange,,,,,
,"300 Tashiro Shigarakicho, Koka 529-1814 , Shiga Prefecture",122,Asia,JPN,Japan,31,"Schedule of Special Exhibitions /2013 Spring Special Exhibition: Saturday, March 9 to Sunday, June 9, SaturdayAncient Glass : Feast of Color Summer Special Exhibition: Saturday, July 20 to Sunday, August 18Feinberg collection : From Native Soil The Flowering of Edo Period Painting in Japan Autumn Special Exhibition: Saturday, September 1 to Sunday, December 15Negoro Lacquerware : From of Red and Black Beauty (Tentative title)",0,NA,136.016178,34.9149592,NA,Miho Museum,+81 748-82-3411,1,4.5,161,112,Museums,Art,Orange,,,,,
,"Mercedesstrasse 100, 70372 Stuttgart, Baden-Wurttemberg, Germany",397,Europe,DEU,Germany,30,,0,NA,9.2337622,48.7883496,NA,Mercedes-Benz Museum,490 711 17 30 000,1,5,"4,589",129,Museums,Transportation,#bf7000,,,,,
,"Bayernstr. 110, 90478 Nuremberg, Bavaria, Germany",397,Europe,DEU,Germany,30,,0,NA,11.1124496,49.4340301,NA,Dokumentationszentrum Reichsparteitagsgelaende,+49 911 2315666,1,4.5,"1,721",140,Museums,History,Black,,,,,
,"Schaumainkai 63, 60596 Frankfurt, Hesse, Germany",397,Europe,DEU,Germany,30,"Considered the city's finest art museum, the Stdel holds a fantastic collection of works from the 14th century through the present day.",0,Yes ,8.673028,50.103243,2-3 hours ,Staedel Museum,+49 69 605098200,1,4.5,"1,317",387,Museums,Art,Orange,,,,,
1,"Willy-Brandt-Allee 14, 53113 Bonn, North Rhine-Westphalia, Germany",397,Europe,DEU,Germany,30,,0,NA,7.1187272,50.7174907,NA,German National Museum of Contemporary History,0228/9-16-50,1,4.5,608,61,Museums,History,Black,,,,,
,"D-85045 Ingolstadt, Bavaria, Germany",397,Europe,DEU,Germany,30,,0,NA,11.4322245,48.7675093,NA,Audi Museum,49-841-89-37-575,1,4.5,491,25,Museums,Transportation,#bf7000,,,,,
,"Museumstraat 1, 1071 XX Amsterdam, The Netherlands",397,Europe,NLD,The Netherlands,30,"The Rijksmuseum is the museum of the Netherlands. The completely renovated Rijksmuseum tells the story of the Netherlands from the Middle Ages to the 20th century. Including works by Rembrandt, Vermeer, Frans Hals, and more! Most famous is Rembrandt's masterpiece the Night Watch. A new display of the collection, a renewed building, new public facilities, a revamped garden and a new Asian Pavilion. Open daily from 9 am to 5 pm.",12,Yes ,4.8851853,52.3600072,More than 3 hours ,Rijksmuseum,+31 20 674 7000,1,4.5,"25,042",451,Museums,Art,Orange,,,,,
,"Houtkampweg 6, 6731 AW Otterlo, Ede, The Netherlands",397,Europe,NLD,The Netherlands,30,Kroller Muller Museum features one of the largest Van Gogh collections and the largest sculpture garden in Europe.,0,NA,5.8166064,52.0955181,NA,Kroller-Muller Museum,+31 (0) 318 59 12 41,1,4.5,915,2,Museums,Art,Orange,,,,,
,"Hoeferlaan 4, 6816 SG Arnhem, The Netherlands",397,Europe,NLD,The Netherlands,30,The Netherlands Open Air Museum (Nederlands Openluchtmuseum) takes you back into the past of every day life of ordinairy Dutch people. ,0,NA,5.9066318,52.0099683,More than 3 hours ,Netherlands Open-Air Museum and National Heritage Museum,+31 26 357 6111,1,4.5,910,41,Museums,History,Black,,,,,
,"Wierdijk 12-22 | 1601 la Enkhuizen, 1601 LA Enkhuizen, The Netherlands",397,Europe,NLD,The Netherlands,30,,0,NA,5.2972236,52.7037766,NA,Zuiderzee Museum (Zuiderzeemuseum),+31 228 351 111,1,4.5,562,15,Historic Sites,History,Black,,,,,
,"Utrechtseweg 232, 6862 AZ Oosterbeek, The Netherlands",397,Europe,NLD,The Netherlands,30,,0,NA,5.8327517,51.9876806,2-3 hours ,Airborne Museum Hartenstein,+31 26 333 7710,1,4.5,476,5,Museums,Military,Blue,,,,,
,"Pelikaanweg 50, 8218 PG Lelystad, The Netherlands",397,Europe,NLD,The Netherlands,30,,0,NA,5.5294871,52.4572433,NA,National Aviation Museum (Aviodrome),0320 - 289 842,1,4.5,254,19,Museums,Transportation,#bf7000,,,,,
,"Calle Ruiz de Alarcon 23, 28014 Madrid, Spain",397,Europe,ESP,Spain,23,"The Prado has one of the largest art collections in the world, and is best known for its diverse assortment of works by Velasquez, Goya and El Greco.",13,Yes ,-3.6913181,40.4135843,More than 3 hours ,Prado National Museum,902107077,1,4.5,"31,900",705,Museums,Art,Orange,,,,,
,"Abandoibarra Et. 2, 48001 Bilbao, Spain",397,Europe,ESP,Spain,23,"American architect Frank Gehry is responsible for this architectural masterpiece: this fantastic chrome and metal creation houses a large collection of modern and contemporary art, a continuation of the Guggenheim legacy.",0,NA,-2.9269593,43.2637606,NA,Guggenheim Museum Bilbao,944 35 90 00 ,1,4.5,"8,785",103,Museums,Art,Orange,,,,,
,"Placa de Gala-Dali 5, 17600, Figueres, Spain",397,Europe,ESP,Spain,23,"Instituted in 1974, this museum was built on the remains of the former Figueres Theater, and features a broad range of works of Salvador Dal (1904-1989.)",0,NA,2.9598934,42.2680977,NA,Dali Theatre-Museum (Teatro-Museo Dali),34 972 677 500,1,4.5,"4,248",19,Museums,History,Black,,,,,
,"Plaza Condesa de Peralta, 30202 Cartagena, Spain",397,Europe,ESP,Spain,23,,0,NA,-0.9844555,37.599421,NA,Roman Theatre Museum,968525149,1,4.5,"1,416",66,Museums,History,Black,,,,,
,"1 Vimy Place, Ottawa, Ontario K1A 0M8, Canada",311,North America,CAN,Canada,18,"The Canadian War Museum is more than a museum that is internationally renowned for its symbolic architecture; it is synonym for inspiring and touching stories. Canada's rich military history is showcased through personal stories, artwork, photographs and interactive presentations. Tour the extensive permanent exhibitions and expand your knowledge of the conflicts that shaped Canada, Canadians and the world, as well as the roll Canadians played in them.",0,NA,-75.709188,45.4294454,NA,Canadian War Museum,+1 800-555-5621,1,4.5,"2,841",243,Museums,Military,Blue,,,,,
,"1500 North Dinosaur Trail | Midland Provincial Park, Drumheller, Alberta T0J 0Y0, Canada",311,North America,CAN,Canada,18,"Since 1985, the Royal Tyrrell Museum has presented the fascinating evolution of dinosaurs through it's collection of dozens of skeletons and hundreds of fossils.",0,NA,-112.71053,51.4651847,More than 3 hours ,Royal Tyrrell Museum,1.40E+10,1,5,"1,823",28,Museums,Natural History,Green,,,,,
,"9280 Airport Rd, Mount Hope, Hamilton, Ontario L0R 1W0, Canada",311,North America,CAN,Canada,18,,0,NA,-79.924895,43.1598715,1-2 hours ,Canadian Warplane Heritage Museum,905-679-4183,1,4.5,655,5,Museums,Military,Blue,,,,,
,"Rue Esseghem 135 | Avenue Woeste, Jette, Brussels 1090, Belgium",397,Europe,BEL,Belgium,17,,0,NA,4.3334206,50.8742758,NA,Rene Magritte House Museum,32 (02) 428-2626,1,4,"1,686",3,Museums,Art,Orange,,,,,
,"Place Princesse Elisabeth 5 | 1030 Schaarbeek, Schaerbeek, Brussels 1030, Belgium",397,Europe,BEL,Belgium,17,,0,NA,4.3790025,50.877485,2-3 hours ,Train World,3222247498,1,4.5,299,6,Museums,Transportation,#bf7000,,,,,
